index,date,time,price,open_24h,low_24h,high_24h,last_size,last_size_value,bid,bid_size,ask,ask_size,volume_24h,volume_30d,side
50,2024-06-16,03:08:52.745205,66116.65,66226.52,65800.86,66428.57,0.00007486,4.949492418999999,66116.64,0.00454157,66116.65,0.51971852,1747.09923401,270131.18360672,buy
51,2024-06-16,03:08:53.187932,66116.65,66226.52,65800.86,66428.57,0.00027714,18.323568380999998,66116.64,0.00454157,66116.65,0.52944138,1747.09951115,270131.18388386,buy
52,2024-06-16,03:08:53.577038,66116.65,66226.52,65800.86,66428.57,0.00007295,4.823209617499999,66116.64,0.00454157,66116.65,0.51936843,1747.09958410,270131.18395681,buy
53,2024-06-16,03:08:53.599374,66116.65,66226.52,65800.86,66428.57,0.00020228,13.374075962,66116.64,0.00454157,66116.65,0.51916615,1747.09978638,270131.18415909,buy
54,2024-06-16,03:08:54.294214,66116.65,66226.52,65800.86,66428.57,0.0001349,8.919136085,66116.64,0.00454157,66116.65,0.51903125,1747.09992128,270131.18429399,buy
55,2024-06-16,03:08:54.522542,66116.65,66226.52,65800.86,66428.57,0.00134752,89.09350820799999,66116.64,0.00454157,66116.65,0.51768373,1747.10126880,270131.18564151,buy
56,2024-06-16,03:08:54.593779,66116.65,66226.52,65800.86,66428.57,0.00006004,3.9696436659999996,66116.64,0.00454157,66116.65,0.51762369,1747.10132884,270131.18570155,buy
57,2024-06-16,03:08:55.146362,66116.65,66226.52,65800.86,66428.57,0.00430356,284.53697027399994,66116.64,0.00454157,66116.65,0.51332013,1747.10563240,270131.19000511,buy
58,2024-06-16,03:08:55.684753,66116.65,66226.52,65800.86,66428.57,0.00019203,12.696380299499998,66116.64,0.00454157,66116.65,0.51312810,1747.10582443,270131.19019714,buy
59,2024-06-16,03:08:56.071463,66116.65,66226.52,65800.86,66428.57,0.00071883,47.52663151949999,66116.64,0.00454157,66116.65,0.51240927,1747.10654326,270131.19091597,buy
60,2024-06-16,03:08:56.897326,66116.65,66226.52,65800.86,66428.57,0.00154607,102.2209690655,66116.64,0.00454157,66116.65,0.51086320,1747.10808933,270131.19246204,buy
61,2024-06-16,03:08:56.976112,66116.65,66226.52,65800.86,66428.57,0.00052497,34.7092577505,66116.64,0.00454157,66116.65,0.51033823,1747.10861430,270131.19298701,buy
62,2024-06-16,03:08:57.859305,66116.65,66226.52,65800.86,66428.57,0.0021899,144.78885183499997,66116.64,0.00454157,66116.65,0.50814833,1747.11080420,270131.19517691,buy
63,2024-06-16,03:08:57.997746,66116.65,66226.52,65800.86,66428.57,0.00074862,49.496246522999996,66116.64,0.00454157,66116.65,0.50739971,1747.11155282,270131.19592553,buy
64,2024-06-16,03:08:59.737839,66116.65,66226.52,65800.86,66428.57,0.00004492,2.9699599179999994,66116.64,0.00454157,66116.65,0.51735479,1747.11159774,270131.19597045,buy
65,2024-06-16,03:09:00.444532,66116.64,66226.52,65800.86,66428.57,0.00454157,300.2733487248,66115.57,0.00759714,66116.65,0.53247996,1747.11613931,270131.20051202,sell
66,2024-06-16,03:09:00.444532,66115.57,66226.52,65800.86,66428.57,0.00759714,502.2892414698,66112.29,0.08272244,66116.65,0.53247996,1747.12373645,270131.20810916,sell
67,2024-06-16,03:09:01.351582,66107.55,66226.52,65800.86,66428.57,0.00004919,3.2518303845000003,66107.54,0.09416732,66107.55,0.22545827,1747.12378564,270131.20815835,buy
68,2024-06-16,03:09:01.351582,66107.54,66226.52,65800.86,66428.57,0.00001,0.6610754,66107.54,0.09415732,66107.55,0.22545827,1747.12379564,270131.20816835,sell
69,2024-06-16,03:09:01.728003,66107.55,66226.52,65800.86,66428.57,0.0001349,8.917908495,66107.54,0.12807119,66107.55,0.07532337,1747.12393054,270131.20830325,buy
70,2024-06-16,03:09:02.234048,66107.55,66226.52,65800.86,66428.57,0.00001509,0.9975629295,66107.54,0.12807119,66107.55,0.06030828,1747.12394563,270131.20831834,buy
71,2024-06-16,03:09:02.257242,66107.55,66226.52,65800.86,66428.57,0.00108967,72.03541400850001,66107.54,0.12807119,66107.55,0.05921861,1747.12503530,270131.20940801,buy
72,2024-06-16,03:09:02.450450,66107.55,66226.52,65800.86,66428.57,0.00007298,4.824528999,66107.54,0.12807119,66107.55,0.05914563,1747.12510828,270131.20948099,buy
73,2024-06-16,03:09:03.229181,66107.55,66226.52,65800.86,66428.57,0.00001509,0.9975629295,66107.54,0.12807119,66107.55,0.27428417,1747.12512337,270131.20949608,buy
74,2024-06-16,03:09:03.479035,66107.54,66226.52,65800.86,66428.57,0.00015732,10.400038192799999,66107.54,0.12791387,66107.55,0.22413054,1747.12528069,270131.20965340,sell
75,2024-06-16,03:09:03.479035,66107.54,66226.52,65800.86,66428.57,0.00044767,29.594362431799997,66107.54,0.12746620,66107.55,0.22413054,1747.12572836,270131.21010107,sell
76,2024-06-16,03:09:08.369942,66107.54,66226.52,65800.86,66428.57,0.00183338,121.20024168519998,66107.54,0.09216662,66107.55,0.39529909,1747.12756174,270131.21193445,sell
77,2024-06-16,03:09:08.861857,66107.55,66226.52,65800.86,66428.57,0.00143461,94.8385523055,66107.54,0.09216662,66107.55,0.39386448,1747.12899635,270131.21336906,buy
78,2024-06-16,03:09:09.236331,66107.54,66226.52,65800.86,66428.57,0.00002001,1.3228118753999998,66107.54,0.09214661,66107.55,0.36652011,1747.12901636,270131.21338907,sell
79,2024-06-16,03:09:09.894574,66107.54,66226.52,65800.86,66428.57,0.00003783,2.5008482381999997,66107.54,0.09210878,66107.55,0.36652011,1747.12905419,270131.21342690,sell
80,2024-06-16,03:09:10.675637,66107.54,66226.52,65800.86,66428.57,0.00185325,122.513798505,66107.54,0.09025553,66107.55,0.20769593,1747.13090744,270131.21528015,sell
81,2024-06-16,03:09:12.443556,66107.55,66226.52,65800.86,66428.57,0.00502177,331.9769113635,66107.54,0.09025553,66107.55,0.06767416,1747.13592921,270131.22030192,buy
82,2024-06-16,03:09:14.392903,66107.55,66226.52,65800.86,66428.57,0.00157828,104.33622401400001,66107.54,0.09025553,66107.55,0.06609588,1747.13750749,270131.22188020,buy
83,2024-06-16,03:09:16.222982,66107.55,66226.52,65800.86,66428.57,0.00072258,47.767993479000005,66107.54,0.09025553,66107.55,0.05037330,1747.13823007,270131.22260278,buy
84,2024-06-16,03:09:17.174094,66107.54,66226.52,65800.86,66428.57,0.08825553,5834.355979696199,66107.54,0.00200000,66107.55,0.21537330,1747.22648560,270131.31085831,sell
85,2024-06-16,03:09:17.174094,66107.54,66226.52,65800.86,66428.57,0.002,132.21508,66107.43,0.03391387,66107.55,0.21537330,1747.22848560,270131.31285831,sell
86,2024-06-16,03:09:17.174094,66107.43,66226.52,65800.86,66428.57,0.03391387,2241.9587870540995,66105.95,0.01512687,66107.55,0.21537330,1747.26239947,270131.34677218,sell
87,2024-06-16,03:09:17.174094,66105.95,66226.52,65800.86,66428.57,0.01512687,999.9761118765,66104.95,0.03772463,66107.55,0.21537330,1747.27752634,270131.36189905,sell
88,2024-06-16,03:09:17.174094,66104.95,66226.52,65800.86,66428.57,0.03772463,2493.7847799185,66104.94,0.00413655,66107.55,0.21537330,1747.31525097,270131.39962368,sell
89,2024-06-16,03:09:17.174094,66104.94,66226.52,65800.86,66428.57,0.00413655,273.44638955700003,66103.00,0.01200000,66107.55,0.21537330,1747.31938752,270131.40376023,sell
90,2024-06-16,03:09:17.174094,66103,66226.52,65800.86,66428.57,0.012,793.236,66102.28,0.12000004,66107.55,0.21537330,1747.33138752,270131.41576023,sell
91,2024-06-16,03:09:17.174094,66102.28,66226.52,65800.86,66428.57,0.0264532,1748.6168332959999,66102.28,0.09354684,66107.55,0.21537330,1747.35784072,270131.44221343,sell
92,2024-06-16,03:09:17.201571,66099.08,66226.52,65800.86,66428.57,0.00000499,0.3298344092,66099.08,0.18726518,66104.88,0.05015363,1747.35784571,270131.44221842,sell
93,2024-06-16,03:09:17.526021,66104.01,66226.52,65800.86,66428.57,0.00144919,95.79727025189999,66104.00,0.03391387,66104.01,0.00232472,1747.35929490,270131.44366761,buy
94,2024-06-16,03:09:18.297766,66104.01,66226.52,65800.86,66428.57,0.00041947,27.728649074699998,66104.00,0.08891387,66104.01,0.30051210,1747.35971437,270131.44408708,buy
95,2024-06-16,03:09:20.582320,66104.01,66226.52,65800.86,66428.57,0.00008869,5.8627646469,66104.00,0.08891387,66104.01,0.30042341,1747.35980306,270131.44417577,buy
96,2024-06-16,03:09:21.515461,66104.01,66226.52,65800.86,66428.57,0.00004506,2.9786466905999998,66104.00,0.08891387,66104.01,0.31537835,1747.35984812,270131.44422083,buy
97,2024-06-16,03:09:23.610096,66104.01,66226.52,65800.86,66428.57,0.00151292,100.0100788092,66104.00,0.10791387,66104.01,0.14816543,1747.36136104,270131.44573375,buy
98,2024-06-16,03:09:25.103014,66104.01,66226.52,65800.86,66428.57,0.00023157,15.3077055957,66104.00,0.10791387,66104.01,0.16500000,1747.36159261,270131.44596532,buy
99,2024-06-16,03:09:25.103014,66104.01,66226.52,65800.86,66428.57,0.00164038,108.4356959238,66104.00,0.10791387,66104.01,0.16335962,1747.36323299,270131.44760570,buy
100,2024-06-16,03:09:25.229508,66104,66226.52,65800.86,66428.57,0.00016942,11.19933968,66104.00,0.10774445,66104.01,0.16343302,1747.36340241,270131.44777512,sell
